Feature,Brand,Response
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
According_to_size,Sapphire,1
not_According_to_size,Sapphire,0
not_According_to_size,Sapphire,0
not_According_to_size,Sapphire,0
not_According_to_size,Sapphire,0
not_According_to_size,Sapphire,0
not_According_to_size,Sapphire,0
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 Reasonable _Pricing ,Maria B,1
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 not_Reasonable _Pricing ,Maria B,0
 Reasonable _Pricing ,Sana Safinaz,1
 Reasonable _Pricing ,Sana Safinaz,1
 Reasonable _Pricing ,Sana Safinaz,1
 Reasonable _Pricing ,Sana Safinaz,1
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 not_Reasonable _Pricing ,Sana Safinaz,0
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
